,open,high,low,close,volume,trade_count,vwap
2018-01-02 00:00:00-05:00,149.51,151.44,149.19,151.41,33330545.0,107223.0,150.63
2018-01-03 00:00:00-05:00,151.52,153.01,151.52,152.88,29997989.0,89158.0,152.53
2018-01-04 00:00:00-05:00,153.41,153.61,152.93,153.15,25122938.0,84941.0,153.2
2018-01-05 00:00:00-05:00,153.84,154.79,153.59,154.68,27529791.0,81741.0,154.22
2018-01-08 00:00:00-05:00,154.67,155.36,154.63,155.29,23653897.0,61798.0,155.03
2018-01-09 00:00:00-05:00,155.57,155.75,154.83,155.3,25046970.0,78994.0,155.34
2018-01-10 00:00:00-05:00,154.57,154.96,153.92,154.95,34256883.0,98180.0,154.65
2018-01-11 00:00:00-05:00,155.22,156.0,154.96,155.99,20795369.0,62730.0,155.49
2018-01-12 00:00:00-05:00,155.75,157.3,155.66,157.14,38324540.0,81020.0,156.55
2018-01-16 00:00:00-05:00,158.15,158.98,156.22,156.69,41624496.0,150986.0,157.5
2018-01-17 00:00:00-05:00,157.41,158.62,156.67,158.38,34691580.0,116297.0,157.72
2018-01-18 00:00:00-05:00,158.15,158.77,157.76,158.41,26646012.0,92826.0,158.33
2018-01-19 00:00:00-05:00,158.89,159.17,158.14,158.91,39374396.0,93199.0,158.63
2018-01-22 00:00:00-05:00,158.84,160.61,158.67,160.61,26440795.0,83661.0,159.84
2018-01-23 00:00:00-05:00,161.1,162.08,161.02,161.94,38519311.0,123002.0,161.62
2018-01-24 00:00:00-05:00,162.22,162.63,159.96,160.92,54581113.0,197293.0,161.31
2018-01-25 00:00:00-05:00,161.97,162.05,160.31,160.83,29091836.0,122297.0,161.16
2018-01-26 00:00:00-05:00,161.71,163.31,161.41,163.23,32480566.0,96099.0,162.33
2018-01-29 00:00:00-05:00,162.9,163.27,162.16,162.44,37445641.0,120948.0,162.76
2018-01-30 00:00:00-05:00,161.02,161.85,160.32,161.16,45361913.0,172177.0,161.26
2018-01-31 00:00:00-05:00,162.09,162.39,160.82,161.83,42813307.0,142667.0,161.73
2018-02-01 00:00:00-05:00,160.61,162.15,159.94,160.45,39075229.0,149010.0,161.09
2018-02-02 00:00:00-05:00,159.86,160.21,157.12,157.25,68864226.0,259621.0,158.49
2018-02-05 00:00:00-05:00,155.84,158.34,150.94,151.05,106503493.0,494689.0,154.69
2018-02-06 00:00:00-05:00,148.99,155.25,148.17,155.06,119411224.0,621011.0,151.9
2018-02-07 00:00:00-05:00,154.56,156.24,153.04,153.05,91381005.0,316068.0,154.52
2018-02-08 00:00:00-05:00,153.51,153.61,146.59,146.59,95544951.0,417809.0,150.36
2018-02-09 00:00:00-05:00,148.7,150.21,143.42,149.12,113903865.0,520720.0,147.13
2018-02-12 00:00:00-05:00,150.62,152.8,149.47,151.77,63875317.0,290625.0,151.27
2018-02-13 00:00:00-05:00,150.92,152.86,150.67,152.55,32059948.0,146933.0,151.99
2018-02-14 00:00:00-05:00,151.69,155.65,150.94,155.41,52722796.0,223014.0,153.97
2018-02-15 00:00:00-05:00,156.81,158.3,155.18,158.3,52192256.0,191831.0,157.05
2018-02-16 00:00:00-05:00,157.8,159.3,157.32,157.59,62777166.0,194842.0,158.19
2018-02-20 00:00:00-05:00,157.04,159.23,156.97,157.85,37601981.0,146878.0,158.12
2018-02-21 00:00:00-05:00,158.64,160.23,157.36,157.46,41506402.0,154797.0,158.75
2018-02-22 00:00:00-05:00,158.14,158.98,157.03,157.44,37377771.0,151945.0,157.98
2018-02-23 00:00:00-05:00,158.64,160.66,158.06,160.66,50784223.0,137308.0,159.15
2018-02-26 00:00:00-05:00,161.38,162.79,161.28,162.79,40111234.0,119689.0,161.96
2018-02-27 00:00:00-05:00,162.8,163.1,160.69,160.77,42608789.0,166039.0,161.76
2018-02-28 00:00:00-05:00,161.69,162.21,159.63,159.74,43513424.0,148574.0,160.92
2018-03-01 00:00:00-05:00,159.81,160.56,155.72,157.13,78142425.0,277203.0,158.04
2018-03-02 00:00:00-05:00,155.32,158.85,154.72,158.57,59008766.0,229894.0,156.96
2018-03-05 00:00:00-05:00,157.88,160.74,157.24,160.33,39134263.0,150787.0,159.39
2018-03-06 00:00:00-05:00,161.08,161.55,160.0,161.01,30026267.0,129554.0,160.82
2018-03-07 00:00:00-05:00,159.79,161.52,159.5,161.38,34948925.0,119422.0,160.69
2018-03-08 00:00:00-05:00,161.96,162.38,161.4,162.27,26169991.0,100575.0,161.99
2018-03-09 00:00:00-05:00,163.45,165.42,163.19,165.42,39170410.0,130606.0,164.32
2018-03-12 00:00:00-04:00,165.89,166.68,165.54,166.3,38120957.0,117566.0,166.11
2018-03-13 00:00:00-04:00,166.99,167.38,163.61,164.04,56180340.0,164861.0,165.26
2018-03-14 00:00:00-04:00,164.87,165.02,163.29,164.01,40946260.0,142023.0,164.15
2018-03-15 00:00:00-04:00,164.15,164.82,163.26,163.87,29126529.0,95262.0,163.99
2018-03-16 00:00:00-04:00,164.1,164.51,163.3,163.38,31455439.0,85286.0,163.8
2018-03-19 00:00:00-04:00,161.87,161.93,158.5,159.9,72142583.0,214799.0,160.44
2018-03-20 00:00:00-04:00,159.9,160.8,159.43,160.42,34512053.0,120495.0,160.25
2018-03-21 00:00:00-04:00,160.02,161.49,159.03,159.73,44224708.0,159233.0,160.28
2018-03-22 00:00:00-04:00,157.6,158.62,155.58,155.78,67865831.0,237125.0,157.33
2018-03-23 00:00:00-04:00,155.59,156.26,151.6,151.68,81159602.0,285847.0,153.95
2018-03-26 00:00:00-04:00,154.71,157.51,152.3,157.31,58515107.0,201303.0,155.02
2018-03-27 00:00:00-04:00,158.46,158.48,150.88,152.22,81138536.0,285606.0,154.65
2018-03-28 00:00:00-04:00,151.43,152.89,149.31,150.47,90153462.0,368689.0,151.05
2018-03-29 00:00:00-04:00,151.31,154.74,149.88,153.23,69910751.0,265294.0,152.53
2018-04-02 00:00:00-04:00,152.15,152.85,147.25,148.81,87368470.0,342023.0,149.48
